,R1,R2,R3,R4,R5,R6,R7,R8,X_M5,Y_M5,Z_M5
17,1.315,2.72,1.469,1.418,1.652,1.394,1.011,1.193,0.34220300000000003,0.566094,0.6975189999999999
18,1.334,2.72,1.4269999999999998,1.38,1.638,1.455,0.983,1.217,0.341206,0.56307,0.697464
19,1.325,2.725,1.408,1.418,1.643,1.39,1.067,1.24,0.342745,0.5596899999999999,0.697224
20,1.325,2.696,1.455,1.455,1.6569999999999998,1.4980000000000002,0.997,1.198,0.343639,0.554633,0.697056
21,1.325,2.682,1.455,1.371,1.652,1.535,1.0490000000000002,1.217,0.343511,0.550235,0.697139
22,1.334,2.668,1.432,1.371,1.615,1.455,1.053,1.146,0.341689,0.544439,0.697313
23,1.348,2.659,1.418,1.385,1.615,1.46,1.0490000000000002,1.175,0.340871,0.539891,0.697231
24,1.325,2.687,1.432,1.423,1.61,1.521,1.095,1.236,0.341911,0.53489,0.696912
25,1.376,2.664,1.4409999999999998,1.357,1.624,1.469,1.058,1.198,0.341945,0.530038,0.6965229999999999
26,1.315,2.654,1.385,1.376,1.6569999999999998,1.5119999999999998,1.072,1.203,0.34132,0.5251,0.6966159999999999
27,1.334,2.654,1.38,1.362,1.638,1.53,1.105,1.175,0.340665,0.520536,0.696507
28,1.3430000000000002,2.668,1.394,1.38,1.605,1.554,1.091,1.245,0.339087,0.515969,0.6964659999999999
29,1.357,2.654,1.4369999999999998,1.325,1.666,1.568,1.11,1.212,0.338737,0.512066,0.6965319999999999
30,1.315,2.682,1.366,1.385,1.587,1.53,1.091,1.165,0.339008,0.508215,0.696596
31,1.297,2.645,1.385,1.357,1.577,1.596,1.081,1.203,0.33970100000000003,0.503,0.696754
32,1.32,2.65,1.39,1.352,1.605,1.5590000000000002,1.091,1.17,0.341711,0.498337,0.696866
33,1.32,2.645,1.385,1.3430000000000002,1.5630000000000002,1.5490000000000002,1.11,1.226,0.342173,0.493464,0.697006
34,1.306,2.659,1.399,1.358,1.61,1.577,1.105,1.189,0.33976,0.489165,0.6970299999999999
35,1.301,2.64,1.348,1.3430000000000002,1.5590000000000002,1.577,1.105,1.161,0.337415,0.485428,0.697018
36,1.278,2.6260000000000003,1.366,1.311,1.5630000000000002,1.5730000000000002,1.077,1.193,0.336221,0.481675,0.697101
37,1.268,2.631,1.339,1.306,1.582,1.648,1.114,1.226,0.33534899999999995,0.476353,0.697035
38,1.306,2.612,1.306,1.334,1.62,1.629,1.146,1.221,0.336179,0.470043,0.6973499999999999
39,1.2919999999999998,2.645,1.3530000000000002,1.339,1.615,1.591,1.119,1.207,0.336458,0.464493,0.6970479999999999
40,1.278,2.64,1.278,1.32,1.62,1.643,1.105,1.217,0.335414,0.458921,0.6974539999999999
41,1.287,2.64,1.2919999999999998,1.297,1.61,1.587,1.128,1.193,0.334429,0.452497,0.6975629999999999
42,1.32,2.617,1.3430000000000002,1.315,1.5630000000000002,1.577,1.1,1.203,0.33452800000000005,0.447734,0.697541
43,1.297,2.631,1.334,1.2819999999999998,1.5730000000000002,1.638,1.128,1.226,0.335467,0.442535,0.697651
44,1.273,2.593,1.301,1.268,1.591,1.535,1.123,1.212,0.335833,0.438151,0.6973649999999999
45,1.306,2.612,1.3530000000000002,1.273,1.596,1.601,1.114,1.212,0.335642,0.43468,0.6968719999999999
46,1.25,2.631,1.2919999999999998,1.25,1.591,1.516,1.132,1.193,0.336044,0.430019,0.696905
47,1.25,2.664,1.32,1.264,1.591,1.5590000000000002,1.119,1.231,0.335713,0.423959,0.697484
48,1.311,2.631,1.306,1.25,1.535,1.526,1.11,1.25,0.335807,0.418086,0.697493
49,1.301,2.617,1.236,1.217,1.5630000000000002,1.587,1.128,1.254,0.336154,0.412248,0.6974119999999999
50,1.273,2.6260000000000003,1.297,1.1840000000000002,1.535,1.4880000000000002,1.091,1.259,0.335748,0.406953,0.697113
51,1.2919999999999998,2.589,1.264,1.1840000000000002,1.577,1.469,1.175,1.334,0.335404,0.401867,0.697487
52,1.325,2.575,1.287,1.156,1.5490000000000002,1.418,1.146,1.24,0.337186,0.396857,0.697497
53,1.2919999999999998,2.575,1.254,1.165,1.5490000000000002,1.404,1.114,1.217,0.337647,0.392016,0.697522
54,1.32,2.579,1.264,1.17,1.521,1.4369999999999998,1.156,1.259,0.336823,0.387317,0.697062
55,1.325,2.603,1.254,1.132,1.5590000000000002,1.423,1.165,1.221,0.336737,0.383277,0.697064
